scénario,ton_prédit_moyen,ton_prédit_médiane,hdi_bas,hdi_haut,prob_ton_acceptable,incertitude
Hausse PIB/habitant +10%,-1.257361202075077,-1.2598919166241984,-2.4265881099713673,-0.009182219085139609,0.121125,0.6454109227373919
Status quo (2025),-1.2578916055197267,-1.254161457472863,-2.418134732146574,-0.12361973346781774,0.111,0.6162935742186955
Réduction inflation -50%,-1.2585976756452277,-1.253598328029502,-2.373654644339947,-0.1473795877837698,0.100125,0.5908187574588589
Hausse accès électricité +20%,-1.2591508703553946,-1.2601171369676911,-2.3745244471746028,-0.08487512827368815,0.10425,0.6050177280696134
Hausse budget santé +30%,-1.2599450129288048,-1.2554391827658973,-2.5863344064557845,0.23402455786385556,0.151875,0.7495789473045418
Amélioration combinée (PAG optimal),-1.2601669090850194,-1.2665016606032689,-2.981866371703272,0.30236265311897714,0.1945,0.8728458511557148
