year,month,ton_moyen_pondere,goldstein_moyen,goldstein_std,buzz_mensuel,nb_evenements,nb_articles,volatilite_ton,pct_conflit,pct_cooperation,quarter,year_month,ton_moyen_pondere_norm,goldstein_moyen_norm,buzz_mensuel_norm,pct_conflit_norm,acces_eau_potable_pct,acces_electricite_pct,balance_courante_pct_pib,depenses_sante_pct_pib,eleves_primaire_nb,esperance_vie_ans,ide_entrants_pct_pib,inflation_pct,investissement_brut_pct_pib,mortalite_maternelle_100k,mortalite_moins5_pour1000,naissances_assistees_pct,pauvrete_3usd_pct,pib_par_habitant_usd,population_totale,acces_eau_potable_pct_norm,acces_electricite_pct_norm,balance_courante_pct_pib_norm,depenses_sante_pct_pib_norm,eleves_primaire_nb_norm,esperance_vie_ans_norm,ide_entrants_pct_pib_norm,inflation_pct_norm,investissement_brut_pct_pib_norm,mortalite_maternelle_100k_norm,mortalite_moins5_pour1000_norm,naissances_assistees_pct_norm,pauvrete_3usd_pct_norm,pib_par_habitant_usd_norm,population_totale_norm
2021,1,-2.5074420256392402,0.40039682539682536,4.3714296965935455,7874.0,1512.0,7765.0,3.8324135253598723,24.801587301587304,75.1984126984127,1,2021-01,0.13463264340796458,0.3469136532200107,0.11078585904075659,0.4076654022717547,68.6381245479094,42.0,-4.153520710633819,2.91589761,2279608.0,59.61,1.9560866109946295,1.73353962694035,28.850618317766326,584.0,82.2,78.1,27.2,1318.6515807519838,13413417.0,0.679792469471478,0.4525547445255474,0.6256435529080699,0.1985319647243432,0.45528005313261016,0.2649619151251369,0.5970071230619421,0.6621669336503411,0.580039520989441,0.75,0.3504672897196263,0.5,0.0,0.6547785481448051,0.6617367973300177
2021,2,-1.9950020891292521,-0.10254030288226673,4.636767442091061,9889.0,2047.0,9759.0,3.94751150835104,29.60429897410845,70.39570102589154,1,2021-02,0.285023223418514,0.09723304582976498,0.201531186669669,0.6691484815736859,68.6381245479094,42.0,-4.153520710633819,2.91589761,2279608.0,59.61,1.9560866109946295,1.73353962694035,28.850618317766326,584.0,82.2,78.1,27.2,1318.6515807519838,13413417.0,0.679792469471478,0.4525547445255474,0.6256435529080699,0.1985319647243432,0.45528005313261016,0.2649619151251369,0.5970071230619421,0.6621669336503411,0.580039520989441,0.75,0.3504672897196263,0.5,0.0,0.6547785481448051,0.6617367973300177
2021,3,-1.3684861694007917,0.3795306388526727,4.522211766154462,14481.0,3068.0,14230.0,3.8512223206784553,27.249022164276404,72.7509778357236,1,2021-03,0.46889275785705303,0.33655473987414386,0.4083314568790813,0.540915709165756,68.6381245479094,42.0,-4.153520710633819,2.91589761,2279608.0,59.61,1.9560866109946295,1.73353962694035,28.850618317766326,584.0,82.2,78.1,27.2,1318.6515807519838,13413417.0,0.679792469471478,0.4525547445255474,0.6256435529080699,0.1985319647243432,0.45528005313261016,0.2649619151251369,0.5970071230619421,0.6621669336503411,0.580039520989441,0.75,0.3504672897196263,0.5,0.0,0.6547785481448051,0.6617367973300177
2021,4,-2.305726233039206,-0.10479553903345724,4.904170860857407,14118.0,2690.0,13774.0,4.092065126793354,32.267657992565056,67.73234200743494,2,2021-04,0.19383207905892802,0.0961134451871073,0.39198378743526235,0.8141547540545448,68.6381245479094,42.0,-4.153520710633819,2.91589761,2279608.0,59.61,1.9560866109946295,1.73353962694035,28.850618317766326,584.0,82.2,78.1,27.2,1318.6515807519838,13413417.0,0.679792469471478,0.4525547445255474,0.6256435529080699,0.1985319647243432,0.45528005313261016,0.2649619151251369,0.5970071230619421,0.6621669336503411,0.580039520989441,0.75,0.3504672897196263,0.5,0.0,0.6547785481448051,0.6617367973300177
2021,5,-0.9799130080907154,0.8862848893166506,4.573082741214086,10025.0,2078.0,9839.0,3.389139900620468,23.147256977863332,76.85274302213668,2,2021-05,0.5829309873985481,0.5881303383716602,0.20765593334834498,0.31759557990350373,68.6381245479094,42.0,-4.153520710633819,2.91589761,2279608.0,59.61,1.9560866109946295,1.73353962694035,28.850618317766326,584.0,82.2,78.1,27.2,1318.6515807519838,13413417.0,0.679792469471478,0.4525547445255474,0.6256435529080699,0.1985319647243432,0.45528005313261016,0.2649619151251369,0.5970071230619421,0.6621669336503411,0.580039520989441,0.75,0.3504672897196263,0.5,0.0,0.6547785481448051,0.6617367973300177
2021,6,-0.7562855736669684,0.6165118679050567,4.533820115824758,8817.0,1938.0,8736.0,3.933607224030221,21.465428276573785,78.53457172342621,2,2021-06,0.6485610391823886,0.454202878941442,0.1532537716730466,0.22602861156190746,68.6381245479094,42.0,-4.153520710633819,2.91589761,2279608.0,59.61,1.9560866109946295,1.73353962694035,28.850618317766326,584.0,82.2,78.1,27.2,1318.6515807519838,13413417.0,0.679792469471478,0.4525547445255474,0.6256435529080699,0.1985319647243432,0.45528005313261016,0.2649619151251369,0.5970071230619421,0.6621669336503411,0.580039520989441,0.75,0.3504672897196263,0.5,0.0,0.6547785481448051,0.6617367973300177
2021,7,-2.5904726152879496,-0.07771543086172344,4.431476950713465,21865.0,4990.0,21695.0,3.9630448373118203,33.50701402805611,66.49298597194388,3,2021-07,0.11026487336074473,0.10955722866685866,0.7408691736095474,0.88163134948829,68.6381245479094,42.0,-4.153520710633819,2.91589761,2279608.0,59.61,1.9560866109946295,1.73353962694035,28.850618317766326,584.0,82.2,78.1,27.2,1318.6515807519838,13413417.0,0.679792469471478,0.4525547445255474,0.6256435529080699,0.1985319647243432,0.45528005313261016,0.2649619151251369,0.5970071230619421,0.6621669336503411,0.580039520989441,0.75,0.3504672897196263,0.5,0.0,0.6547785481448051,0.6617367973300177
2021,8,-1.878727991859687,0.46722525331254877,4.337804874379268,11748.0,2569.0,11582.0,3.9236716113730075,25.029194239003505,74.9708057609965,3,2021-08,0.31914727910329593,0.3800902900891697,0.28525106957892366,0.42005743554882796,68.6381245479094,42.0,-4.153520710633819,2.91589761,2279608.0,59.61,1.9560866109946295,1.73353962694035,28.850618317766326,584.0,82.2,78.1,27.2,1318.6515807519838,13413417.0,0.679792469471478,0.4525547445255474,0.6256435529080699,0.1985319647243432,0.45528005313261016,0.2649619151251369,0.5970071230619421,0.6621669336503411,0.580039520989441,0.75,0.3504672897196263,0.5,0.0,0.6547785481448051,0.6617367973300177
2021,9,-2.3133692823786225,-0.29839896148853307,4.862915773126078,11255.0,2316.0,11081.0,3.9963945667110066,30.915371329879104,69.08462867012089,3,2021-09,0.1915890013022792,0.0,0.26304886286872325,0.7405296637370918,68.6381245479094,42.0,-4.153520710633819,2.91589761,2279608.0,59.61,1.9560866109946295,1.73353962694035,28.850618317766326,584.0,82.2,78.1,27.2,1318.6515807519838,13413417.0,0.679792469471478,0.4525547445255474,0.6256435529080699,0.1985319647243432,0.45528005313261016,0.2649619151251369,0.5970071230619421,0.6621669336503411,0.580039520989441,0.75,0.3504672897196263,0.5,0.0,0.6547785481448051,0.6617367973300177
2021,10,-1.2854129955026303,0.6941575209812783,4.458972525908102,14999.0,3098.0,14685.0,3.5631203902144715,25.209812782440284,74.7901872175597,4,2021-10,0.49327302550549035,0.49274967282722804,0.4316595361405089,0.42989119117215613,68.6381245479094,42.0,-4.153520710633819,2.91589761,2279608.0,59.61,1.9560866109946295,1.73353962694035,28.850618317766326,584.0,82.2,78.1,27.2,1318.6515807519838,13413417.0,0.679792469471478,0.4525547445255474,0.6256435529080699,0.1985319647243432,0.45528005313261016,0.2649619151251369,0.5970071230619421,0.6621669336503411,0.580039520989441,0.75,0.3504672897196263,0.5,0.0,0.6547785481448051,0.6617367973300177
