scénario,ton_prédit_moyen,ton_prédit_médiane,hdi_bas,hdi_haut,prob_ton_acceptable,incertitude
Hausse budget santé +30%,-1.2947875642895934,-1.2934465754181166,-2.503203239886285,-0.05907579737193247,0.10825,0.6440053117005075
Hausse accès électricité +20%,-1.3294417545346986,-1.3262151726317946,-2.033095738232901,-0.5587700611099513,0.017125,0.3932041543150109
Amélioration combinée (PAG optimal),-1.3924333745563553,-1.3863794933889149,-2.5335397462980085,-0.24069073140165997,0.069375,0.6071073129202993
Status quo (2025),-1.5091807413535512,-1.5037136691808901,-2.3094059305946244,-0.7514860482928482,0.00675,0.411059651808001
Hausse PIB/habitant +10%,-1.5239061504444817,-1.522988167575423,-2.419997720821298,-0.5629715832834791,0.019,0.49297150114211
Réduction inflation -50%,-1.6662072583428875,-1.662285443882092,-2.6270311593961244,-0.712453233381293,0.011375,0.5097759097515466
