GLOBALEVENTID,SQLDATE,MonthYear,Year,FractionDate,Actor1Code,Actor1Name,Actor1CountryCode,Actor1KnownGroupCode,Actor1EthnicCode,Actor1Religion1Code,Actor1Religion2Code,Actor1Type1Code,Actor1Type2Code,Actor1Type3Code,Actor2Code,Actor2Name,Actor2CountryCode,Actor2KnownGroupCode,Actor2EthnicCode,Actor2Religion1Code,Actor2Religion2Code,Actor2Type1Code,Actor2Type2Code,Actor2Type3Code,IsRootEvent,EventCode,EventBaseCode,EventRootCode,QuadClass,GoldsteinScale,NumMentions,NumSources,NumArticles,AvgTone,Actor1Geo_Type,Actor1Geo_FullName,Actor1Geo_CountryCode,Actor1Geo_ADM1Code,Actor1Geo_ADM2Code,Actor1Geo_Lat,Actor1Geo_Long,Actor1Geo_FeatureID,Actor2Geo_Type,Actor2Geo_FullName,Actor2Geo_CountryCode,Actor2Geo_ADM1Code,Actor2Geo_ADM2Code,Actor2Geo_Lat,Actor2Geo_Long,Actor2Geo_FeatureID,ActionGeo_Type,ActionGeo_FullName,ActionGeo_CountryCode,ActionGeo_ADM1Code,ActionGeo_ADM2Code,ActionGeo_Lat,ActionGeo_Long,ActionGeo_FeatureID,DATEADDED,SOURCEURL
1282163003,20260104,202601,2026,2026.011,BEN,BENIN,BEN,,,,,,,,GOV,EMBASSY,,,,,,GOV,,,1,161,161,16,4,-4.0,10,1,10,-6.88172043010753,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,20260104174500,https://africapresse.com/apres-laccusation-dactivites-subversives-le-benin-suspend-ses-activites-diplomatiques-au-niger/
1282177137,20260104,202601,2026,2026.011,,,,,,,,,,,HLH,HOSPITAL,,,,,,HLH,,,1,042,042,04,1,1.9,10,1,10,-9.09090909090905,0,,,,,,,,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,20260104210000,https://punchng.com/armed-robbers-kill-pos-operator-in-edo/
1282177187,20260104,202601,2026,2026.011,BEN,BENIN,BEN,,,,,,,,COP,POLICE,,,,,,COP,,,0,090,090,09,2,-2.0,2,1,2,-9.09090909090905,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,20260104210000,https://punchng.com/armed-robbers-kill-pos-operator-in-edo/
1282177188,20260104,202601,2026,2026.011,BEN,BENIN,BEN,,,,,,,,CRM,PERPETRATOR,,,,,,CRM,,,0,173,173,17,4,-5.0,2,1,2,-9.09090909090905,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,20260104210000,https://punchng.com/armed-robbers-kill-pos-operator-in-edo/
1282177194,20260104,202601,2026,2026.011,BUS,BUSINESS,,,,,,BUS,,,CRM,ASSAILANT,,,,,,CRM,,,1,111,111,11,3,-2.0,10,1,10,-9.09090909090905,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,20260104210000,https://punchng.com/armed-robbers-kill-pos-operator-in-edo/
1282177215,20260104,202601,2026,2026.011,COP,POLICE,,,,,,COP,,,CRM,PERPETRATOR,,,,,,CRM,,,0,173,173,17,4,-5.0,3,1,3,-9.09090909090905,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,20260104210000,https://punchng.com/armed-robbers-kill-pos-operator-in-edo/
1282177226,20260104,202601,2026,2026.011,CRM,ROBBER,,,,,,CRM,,,BEN,BENIN,BEN,,,,,,,,1,190,190,19,4,-10.0,2,1,2,-9.09090909090905,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,20260104210000,https://punchng.com/armed-robbers-kill-pos-operator-in-edo/
1282178391,20260104,202601,2026,2026.011,COP,POLICE,,,,,,COP,,,BEN,BENIN,BEN,,,,,,,,1,190,190,19,4,-10.0,2,1,2,-9.20245398773006,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,20260104211500,https://promptnewsonline.com/tension-as-gunmen-kill-pos-operator-in-benin/
1282178702,20260104,202601,2026,2026.011,UAF,GUNMEN,,,,,,UAF,,,BEN,BENIN,BEN,,,,,,,,1,193,193,19,4,-10.0,10,1,10,-9.20245398773006,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,20260104211500,https://promptnewsonline.com/tension-as-gunmen-kill-pos-operator-in-benin/
1282191176,20260105,202601,2026,2026.0137,,,,,,,,,,,EGY,EGYPT,EGY,,,,,,,,1,042,042,04,1,1.9,8,1,8,3.125,0,,,,,,,,1,Benin,BN,BN,,9.5,2.25,BN,1,Benin,BN,BN,,9.5,2.25,BN,20260105001500,https://kawowo.com/2026/01/05/egypt-vs-benin-the-pharaohs-quarter-final-bid-faces-squirrels-test/
